jurisdiction,collection_date,number_hospitals_reporting_today,total_hospitals,admissions_all_covid_confirmed,admissions_70_covid_confirmed,admissions_30_49_covid_confirmed,admissions_50_69_covid_confirmed,admissions_50_59_covid_confirmed,admissions_30_39_covid_confirmed,admissions_40_49_covid_confirmed,admissions_18_29_covid_confirmed,admissions_20_29_covid_confirmed,admissions_0_17_covid_confirmed,average_admissions_all_covid_confirmed,average_admissions_18_29_covid_confirmed,average_admissions_40_49_covid_confirmed,average_admissions_60_69_covid_confirmed,average_admissions_30_39_covid_confirmed,average_admissions_30_49_covid_confirmed,average_admissions_50_69_covid_confirmed,average_admissions_20_29_covid_confirmed,average_admissions_0_17_covid_confirmed,average_admissions_70_covid_confirmed,average_admissions_50_59_covid_confirmed,admissions_60_69_covid_confirmed,average_admissions_60_69_covid_confirmed_per_100k,average_admissions_0_17_covid_confirmed_per_100k,average_admissions_50_59_covid_confirmed_per_100k,average_admissions_all_covid_confirmed_per_100k,average_admissions_30_39_covid_confirmed_per_100k,average_admissions_40_49_covid_confirmed_per_100k,average_admissions_70_covid_confirmed_per_100k,average_admissions_50_69_covid_confirmed_per_100k,average_admissions_20_29_covid_confirmed_per_100k,average_admissions_30_49_covid_confirmed_per_100k,average_admissions_18_29_covid_confirmed_per_100k,total_admissions_all_covid_confirmed_past_7days_per_100k,percent_change_total_admissions_all_covid_confirmed_past_7days_per_100k,total_patients_hospitalized_covid_confirmed,average_total_patients_hospitalized_covid_confirmed,total_adult_patients_hospitalized_covid_confirmed,total_pediatric_patients_hospitalized_covid_confirmed,inpatient_beds,average_inpatient_beds,inpatient_adult_beds,inpatient_pediatric_beds,inpatient_beds_used,average_inpatient_beds_occupied,inpatient_adult_beds_used,inpatient_pediatric_beds_used,total_icu_beds,total_staffed_adult_icu_beds,total_staffed_pediatric_icu_beds,staff_icu_adult_patients_covid_confirmed,staff_icu_pediatric_patients_covid_confirmed,icu_beds_used,staff_adult_icu_beds_occupied,staff_pediatric_icu_beds_occupied,staff_icu_patients_covid_confirmed,percent_inpatient_beds_occupied,percent_adult_inpatient_beds_occupied,percent_pediatric_inpatient_beds_occupied,percent_inpatient_beds_covid,percent_adult_inpatient_beds_covid,percent_pediatric_inpatient_beds_covid,percent_staff_icu_beds_occupied,percent_staff_adult_icu_beds_occupied,percent_staff_pediatric_icu_beds_occupied,percent_staff_icu_beds_covid,percent_staff_adult_icu_beds_covid,percent_staff_pediatric_icu_beds_covid,average_percent_inpatient_beds_occupied,absolute_change_average_percent_inpatient_beds_occupied,average_percent_adult_inpatient_beds_occupied,average_percent_pediatric_inpatient_beds_occupied,average_percent_inpatient_beds_covid,average_percent_adult_inpatient_beds_covid,average_percent_pediatric_inpatient_beds_covid,average_percent_staff_icu_beds_occupied,absolute_change_average_percent_staff_icu_beds_occupied,average_percent_staff_adult_icu_beds_occupied,average_percent_staff_pediatric_icu_beds_occupied,average_percent_staff_icu_beds_covid,average_percent_staff_adult_icu_beds_covid,average_percent_staff_pediatric_icu_beds_covid,total_admissions_all_covid_confirmed_past_7days,percent_change_total_admissions_all_covid_confirmed_past_7days,absolute_change_average_percent_inpatient_beds_covid,absolute_change_average_percent_staff_icu_beds_covid,total_admissions_all_influenza_confirmed_past_7days,percent_change_total_admissions_all_influenza_confirmed_past_7days,total_admissions_all_influenza_confirmed_past_7days_per_100k,percent_change_total_admissions_all_influenza_confirmed_past_7days_per_100k,total_patients_hospitalized_influenza_confirmed,percent_inpatient_beds_influenza,average_percent_inpatient_beds_influenza,absolute_change_average_percent_inpatient_beds_influenza,icu_patients_influenza_confirmed,percent_staff_icu_beds_influenza,average_percent_staff_icu_beds_influenza,absolute_change_average_percent_staff_icu_beds_influenza,absolute_change_average_percent_adult_inpatient_beds_occupied,absolute_change_average_percent_pediatric_inpatient_beds_occupied,absolute_change_average_percent_staff_adult_icu_beds_occupied,absolute_change_average_percent_staff_pediatric_icu_beds_occupied,admissions_00_04_covid_confirmed,admissions_05_11_covid_confirmed,admissions_12_17_covid_confirmed,average_admissions_00_04_covid_confirmed,average_admissions_05_11_covid_confirmed,average_admissions_12_17_covid_confirmed,average_admissions_00_04_covid_confirmed_per_100k,average_admissions_05_11_covid_confirmed_per_100k,average_admissions_12_17_covid_confirmed_per_100k,state,peak_flu_season,is_holiday?,day_of_week,day_of_month,month,quarter,year,day_of_year_sin,day_of_year_cos,month_sin,month_cos,day_of_month_sin,day_of_month_cos,day_of_week_sin,day_of_week_cos,season,is_weekend,jurisdiction_target_encoded,proportion_inpatient_beds,proportion_prevalent_inpatient_beds,proportion_inpatient_beds_covid_vs_normal,year_sin,year_cos
CA,01-08-2020,285.0,371.0,559.0,156.0,122.0,218.0,110.0,49.0,73.0,44.0,42.0,15.6615769,734.8571429,45.28571429,105.5714286,139.4285714,60.14285714,165.7142857,268.7142857,40.85714286,23.70355438,234.7142857,129.2857143,108.0,3.34543196,-0.36386825,2.599699107,1.859822321,1.048050084,2.104297109,5.944778113,2.939713325,0.711517141,1.540740956,0.668619923,13.01875625,30.16194332,5066.0,6179.142857,5011.0,89.0,51069.0,51069.0,46031.0,5001.0,35577.0,35577.0,33334.0,2180.0,7687.0,6071.0,1441.0,1482.0,30.0,5103.0,4466.0,638.0,1532.0,69.66457146,72.41641502,43.59128174,9.919912276,10.88614195,1.779644071,66.38480552,73.56283973,44.27480916,19.92975153,24.4111349,2.081887578,70.12352281,-0.783169439,72.52215351,46.596401,10.63435489,11.62741795,1.336073997,66.76117605,13.6971006,74.52985967,48.34547676,20.22583899,25.98544952,1.050274459,5144,30.16194332,-0.184189129,5.187589287,-34.0291215,17.44286001,-0.002887111,17.44138439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.824413039,-13.90477477,1.21130682,-4.592642703,8.082396252,7.011888384,3.085018287,13.99381719,7.726947166,5.33113037,-0.476627635,-0.092620857,-0.27345624,California,0,0,5,1,8,3,2020,-0.516062391,-0.856550996,-0.866025404,-0.5,0.20129852,0.979529941,-0.974927912,-0.222520934,2,1,514.4160052883487,0.0109459750533591,0.0991991227554876,0.1423953678046496,-7.052975194070213e-14,1.0
CA,02-08-2020,352.0,371.0,654.0,193.0,137.0,252.0,125.0,55.0,82.0,49.0,46.0,15.65748572,731.1428571,47.14285714,103.4285714,138.2857143,59.14285714,162.5714286,267.2857143,43.28571429,19.38854049,232.7142857,129.0,127.0,3.318010387,-0.371085937,2.593953916,1.850421975,1.030624073,2.061584718,5.89412267,2.924084865,0.753810118,1.511520007,0.696039667,12.95295382,20.73602265,5549.0,6088.285714,5514.0,74.0,52941.0,52005.0,48889.0,4344.0,37462.0,36519.5,35079.0,2331.0,9239.0,6300.0,1630.0,1558.0,20.0,5397.0,4562.0,796.0,1598.0,70.76179143,71.75233693,53.66022099,10.48147938,11.27861073,1.703499079,58.41541292,72.41269841,48.83435583,17.29624418,24.73015873,1.226993865,70.46474411,-0.293434799,72.6145082,47.88459583,10.5609992,11.49569728,1.417866382,65.64255329,8.460472009,74.2320539,49.05693235,19.75744933,25.68923413,1.136273582,5118,20.73602265,-0.404234924,3.153170099,-48.37410349,17.48711753,-0.294534995,17.4942123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.225444489,-8.439943763,0.048541628,-1.363411029,7.588413799,6.903734656,3.7399832,10.93355709,6.660626327,5.00122122,-0.553687144,-0.076034773,-0.211320801,California,0,0,6,2,8,3,2020,-0.530730048,-0.847540923,-0.866025404,-0.5,0.394355855,0.918957812,-0.781831482,0.623489802,2,1,514.4160052883487,0.0123533745112483,0.1048147938270905,0.1481234317021021,-7.052975194070213e-14,1.0
CA,03-08-2020,355.0,371.0,692.0,215.0,162.0,256.0,115.0,52.0,110.0,54.0,49.0,9.281507059,731.5714286,49.42857143,103.1428571,139.5714286,59.14285714,162.2857143,267.1428571,45.14285714,18.66531761,231.4285714,127.5714286,141.0,3.348859657,-0.344587543,2.565227959,1.85150663,1.030624073,2.055889733,5.861558456,2.922522019,0.786151807,1.508863557,0.729787045,12.96054641,15.3118667,6100.0,6028.428571,6047.0,70.0,58288.0,54099.33333,54094.0,4339.0,40385.0,37808.0,38085.0,2240.0,8862.0,7079.0,1604.0,1809.0,18.0,5862.0,5114.0,749.0,1827.0,69.28527313,70.40522054,51.62479834,10.46527587,11.17868895,1.613274948,66.14759648,72.24184207,46.6957606,20.61611374,25.55445684,1.122194514,70.60986044,0.111621133,72.60259436,48.65617042,10.47817661,11.38143421,1.481001565,66.26726639,6.188327085,74.09045123,48.79228239,19.98824987,25.49307509,1.180995869,5121,15.3118667,-0.622153942,2.20786003,-19.76559321,17.48286227,-0.092601907,17.49059635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.743181145,-5.378988178,-0.574777639,-0.862976194,5.920235924,6.040024772,2.03995601,10.96933298,6.653246225,4.201121949,-0.532212689,-0.048485718,-0.20409588,California,0,0,0,3,8,3,2020,-0.545240439,-0.838279705,-0.866025404,-0.5,0.571268215,0.820763441,0.0,1.0,2,0,514.4160052883487,0.0118720834477079,0.1046527587153444,0.1510461804828855,-7.052975194070213e-14,1.0
CA,04-08-2020,355.0,371.0,676.0,208.0,171.0,246.0,114.0,64.0,107.0,33.0,32.0,15.13866361,707.1428571,46.57142857,99.85714286,136.4285714,58.14285714,158.0,260.0,42.71428571,19.42082323,222.8571429,123.5714286,132.0,3.27345033,-0.384528449,2.484795279,1.789681277,1.013198062,1.9903974,5.644463698,2.844379719,0.74385883,1.469016808,0.687602823,12.52776894,2.188274154,5657.0,5915.857143,5630.0,78.0,56352.0,54662.5,52127.0,4376.0,39517.0,38235.25,37414.0,2361.0,8586.0,6831.0,1620.0,1703.0,16.0,5819.0,5033.0,784.0,1719.0,70.12528393,71.77470409,53.95338208,10.03868541,10.80054482,1.782449726,67.77311903,73.67881716,48.39506173,20.02096436,24.93046406,0.987654321,70.6306524,0.328004174,72.5663393,49.87080704,10.34475441,11.21526338,1.570681749,66.41701328,3.124738849,74.2764262,48.55897226,19.97876818,25.44502635,1.201092328,4950,2.188274154,-0.853121458,0.933668683,-25.25852876,17.46044905,-0.131998058,17.46250075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198447464,-1.925591736,-0.474916788,-1.063473574,8.885623401,7.086394389,2.75800618,12.20703049,6.910246474,4.058508013,-0.523343553,-0.11141513,-0.24308249,California,0,0,1,4,8,3,2020,-0.559589262,-0.828770087,-0.866025404,-0.5,0.724792787,0.688966919,0.781831482,0.623489802,2,0,514.4160052883487,0.0119960249858035,0.100386854060193,0.1431535795280451,-7.052975194070213e-14,1.0
CA,05-08-2020,355.0,371.0,691.0,224.0,152.0,244.0,108.0,55.0,97.0,47.0,44.0,16.36964281,692.4285714,47.0,97.57142857,134.5714286,57.71428571,155.2857143,253.1428571,43.42857143,17.06460742,218.0,118.5714286,136.0,3.228890273,-0.302550757,2.38425443,1.752441444,1.005729772,1.944837517,5.521443336,2.769363111,0.75629794,1.443780534,0.693930456,12.26709011,-7.14559387,5950.0,5860.857143,5888.0,69.0,59228.0,55575.6,54895.0,4416.0,42677.0,39123.6,40141.0,2480.0,8972.0,7102.0,1616.0,1762.0,16.0,6117.0,5314.0,801.0,1780.0,72.05544675,73.12323527,56.15942029,10.04592423,10.72593132,1.5625,68.17877842,74.82399324,49.56683168,19.83950067,24.8099127,0.99009901,70.70172297,0.541676459,72.41873818,50.80636221,10.25923584,11.08842038,1.603137239,66.42120352,-0.172549847,74.10600392,48.32692883,19.85003119,25.2160954,1.20798815,4847,-7.14559387,-0.865090502,-0.409377375,-25.12335064,17.46674869,-0.122371046,17.46975446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12450478,1.470223451,-0.787487425,-0.47683011,8.569324234,6.910128524,3.174418167,9.705604262,6.259386303,3.893405565,-0.412616587,-0.054619328,-0.172032784,California,0,0,2,5,8,3,2020,-0.573772268,-0.819014887,-0.866025404,-0.5,0.848644257,0.52896401,0.974927912,-0.222520934,2,0,514.4160052883487,0.0116667792260417,0.100459242250287,0.1394193594393334,-7.052975194070213e-14,1.0
CA,06-08-2020,355.0,371.0,672.0,224.0,136.0,263.0,116.0,61.0,75.0,37.0,36.0,11.42611558,677.8571429,44.71428571,91.71428571,134.5714286,57.57142857,149.2857143,253.8571429,41.71428571,15.60258116,213.0,119.2857143,147.0,3.228890273,-0.330271432,2.398617408,1.715563163,1.003240342,1.828090316,5.394804727,2.777177341,0.726444074,1.387995086,0.660183078,12.00894214,-10.67394578,5872.0,5789.714286,5828.0,64.0,58729.0,56101.16667,54863.0,4466.0,42643.0,39710.16667,40208.0,2524.0,9060.0,7149.0,1572.0,1751.0,9.0,6174.0,5403.0,774.0,1760.0,72.60978392,73.28800831,56.5158979,9.998467537,10.62282413,1.433049709,68.14569536,75.57700378,49.23664122,19.42604857,24.49293607,0.572519084,70.89702528,0.699344119,72.38019578,52.0395616,10.19237795,10.97037497,1.626961376,66.33292737,-0.512969152,74.07071556,47.99925924,19.67365148,24.96408866,1.178479986,4745,-10.67394578,-0.775609354,-0.708270357,-17.7048558,17.47153205,-0.160188916,17.47411266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134206266,4.184033315,-0.726818057,-1.135075037,6.292398153,5.734392678,2.335236076,8.765983367,5.741718039,3.643087736,-0.429447688,-0.073224824,-0.189160901,California,0,0,3,6,8,3,2020,-0.587785252,-0.809016994,-0.866025404,-0.5,0.937752132,0.347305253,0.433883739,-0.900968868,2,0,514.4160052883487,0.0114423879173832,0.0999846753733249,0.1377013812355661,-7.052975194070213e-14,1.0
CA,07-08-2020,355.0,371.0,654.0,189.0,116.0,288.0,157.0,43.0,73.0,41.0,37.0,15.02419866,656.8571429,43.57142857,88.14285714,131.7142857,54.14285714,142.2857143,252.4285714,40.85714286,16.69961014,201.2857143,120.7142857,131.0,3.160336339,-0.360783838,2.427343365,1.662415053,0.943494019,1.756902999,5.098108558,2.761548881,0.711517141,1.322912063,0.643309389,11.63690537,-14.72551929,5203.0,5628.142857,5161.0,56.0,56349.0,56136.57143,52268.0,4225.0,39547.0,39686.85714,37306.0,2244.0,9178.0,6645.0,1475.0,1598.0,8.0,5614.0,4986.0,658.0,1606.0,70.18225701,71.37445473,53.11242604,9.233526771,9.874110354,1.325443787,61.16801046,75.03386005,44.61016949,17.49836566,24.04815651,0.542372881,70.66920109,0.485716207,72.01919641,52.65963248,10.02618164,10.76669318,1.599980189,65.17334546,-1.799164251,73.90443635,47.37337567,19.23242696,24.7110314,1.074817322,4598,-14.72551929,-0.794408266,-1.091780708,0.997839891,17.47210932,-0.231168499,17.47475818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.371399067,5.434579586,-0.911275145,-1.484735187,7.399759657,6.438568951,3.309687064,8.917230434,6.122899215,4.213124951,-0.427699054,-0.107552017,-0.197390275,California,0,0,4,7,8,3,2020,-0.601624063,-0.798779373,-0.866025404,-0.5,0.988468324,0.151427778,-0.433883739,-0.900968868,2,0,514.4160052883487,0.0116062396848213,0.0923352677066141,0.1315649733191731,-7.052975194070213e-14,1.0
CA,08-08-2020,321.0,371.0,643.0,204.0,130.0,244.0,109.0,53.0,77.0,40.0,33.0,16.12952673,668.8571429,43.0,88.71428571,135.5714286,54.71428571,143.4285714,256.1428571,39.57142857,16.7191819,208.1428571,120.5714286,135.0,3.25288415,-0.412726591,2.424470769,1.692785402,0.953451739,1.768292969,5.271784364,2.802182877,0.689126742,1.333537862,0.634872545,11.84949781,-8.981337481,5217.0,5649.714286,5210.0,58.0,54991.0,56696.85714,51251.0,4343.0,38675.0,40129.42857,36481.0,2273.0,8435.0,6617.0,1586.0,1577.0,6.0,5661.0,4899.0,762.0,1583.0,70.32969031,71.18105013,52.33709417,9.487006965,10.1656553,1.335482385,67.11321873,74.03657246,48.04539723,18.76704209,23.83255252,0.378310214,70.76421807,0.64069526,71.84271571,53.90903426,9.964338023,10.66376652,1.536528519,65.27740449,-1.483771568,73.97211245,47.91203111,19.06632561,24.62837678,0.831449127,4682,-8.981337481,-0.670016863,-1.159513383,4.287717239,17.45359287,-0.078510766,17.45137441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.679437793,7.312633263,-0.557747222,-0.433445649,8.537367467,6.420858987,2.788989405,9.615204677,6.22423373,3.688189471,-0.529945347,-0.132723614,-0.272088914,California,0,0,5,8,8,3,2020,-0.6152846,-0.788305056,-0.866025404,-0.5,0.998716507,-0.050649169,-0.974927912,-0.222520934,2,1,514.4160052883487,0.0116928224618573,0.0948700696477605,0.1348933419610276,-7.052975194070213e-14,1.0
CA,09-08-2020,352.0,371.0,582.0,181.0,105.0,234.0,103.0,39.0,66.0,32.0,29.0,17.08666476,658.5714286,40.57142857,86.42857143,136.1428571,52.42857143,138.8571429,253.5714286,37.14285714,17.86757065,206.4285714,117.4285714,131.0,3.266594936,-0.404394258,2.361273664,1.666753674,0.913620857,1.722733086,5.228365413,2.774051649,0.646833765,1.291034663,0.599015956,11.66727572,-9.925752247,5180.0,5597.0,5136.0,62.0,54987.0,56989.14286,50848.0,4267.0,38016.0,40208.57143,35708.0,2242.0,8990.0,6564.0,1575.0,1582.0,8.0,5546.0,4818.0,727.0,1591.0,69.13634132,70.22498427,52.5427701,9.42040846,10.10069226,1.453011483,61.69076752,73.40036563,46.15873016,17.6974416,24.10115783,0.507936508,70.53201091,0.0672668,71.62452248,53.74939842,9.812756462,10.49549245,1.500744577,65.74531229,0.102758995,74.11320777,47.52979887,19.12363953,24.53851951,0.728726647,4610,-9.925752247,-0.748242742,-0.633809804,-25.97712045,17.4811591,-0.257015432,17.48379764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.989985725,5.864802585,-0.118846128,-1.527133482,8.603881013,6.481087494,3.005719099,9.817566816,6.357038084,4.282666018,-0.509787529,-0.132636641,-0.231749749,California,0,0,6,9,8,3,2020,-0.628762815,-0.777597147,-0.866025404,-0.5,0.968077119,-0.250652532,-0.781831482,0.623489802,2,1,514.4160052883487,0.0105843199301653,0.0942040846018149,0.1362584174999557,-7.052975194070213e-14,1.0
CA,10-08-2020,355.0,371.0,570.0,185.0,99.0,244.0,111.0,52.0,47.0,29.0,22.0,10.32004437,641.1428571,37.0,77.42857143,135.0,52.42857143,129.8571429,251.8571429,33.28571429,17.14223948,202.1428571,116.8571429,133.0,3.239173363,-0.408487097,2.349783281,1.622644358,0.913620857,1.543341046,5.119818034,2.755297497,0.579662566,1.207356491,0.546285678,11.3585105,-12.36086702,5176.0,5465.0,5155.0,59.0,56018.0,56664.85714,52168.0,4217.0,38213.0,39898.28571,36209.0,2211.0,8926.0,6808.0,1561.0,1614.0,16.0,5622.0,4923.0,699.0,1630.0,68.21557357,69.40844962,52.43063789,9.239887179,9.881536574,1.399098885,62.98453955,72.3119859,44.77898783,18.26125924,23.70740306,1.024983985,70.37919669,-0.230663749,71.48212663,53.86451835,9.637700935,10.31018497,1.470147997,65.29344701,-0.973819379,74.12322832,47.25597419,18.78723174,24.27465468,0.714839429,4488,-12.36086702,-0.840475672,-1.201018133,3.891813403,17.48660231,-0.159219404,17.48946279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.120467728,5.208347933,0.032777088,-1.536308202,5.769817588,5.256830026,2.10867121,9.328745715,6.091885081,4.162616106,-0.520795881,-0.123759112,-0.235460715,California,0,0,0,10,8,3,2020,-0.642054713,-0.766658819,-0.866025404,-0.5,0.89780454,-0.440394152,0.0,1.0,2,0,514.4160052883487,0.0101753007961726,0.0923988717912099,0.1354512862010668,-7.052975194070213e-14,1.0
