admissions_20_29_covid_confirmed,average_admissions_20_29_covid_confirmed,percent_change_total_admissions_all_covid_confirmed_past_7days_per_100k,total_admissions_all_influenza_confirmed_past_7days,total_admissions_all_influenza_confirmed_past_7days_per_100k
0.0,0.714285714,40.0,0.0,0.0
2.0,1.142857143,176.0,0.0,0.0
2.0,9.285714286,7.259259259,49.0,0.643475883
45.0,43.57142857,-29.29680015,22.0,0.055678973
21.0,16.28571429,30.93259464,193.0,0.488456445
280.0,191.8571429,91.16979328,487.0,0.727863616
6.0,6.857142857,9.33572711,2.0,0.035463307
1.0,1.142857143,-3.6900369,1.0,0.017731653
24.0,17.57142857,10.91655267,1.0,0.022383017
1.0,1.285714286,-2.8,2.0,0.063390036
2.0,1.0,-19.09090909,1.0,0.17278349
2.0,4.0,-5.597014925,4.0,0.089532067
24.0,39.0,3.329528158,81.0,0.156502708
82.0,64.14285714,12.65643924,166.0,0.388610628
6.0,4.571428571,19.65601966,89.0,0.629410292
3.0,6.0,11.2195122,75.0,0.591864421
6.0,12.71428571,-1.194475551,8.0,0.118831547
8.0,7.285714286,-6.537282942,16.0,0.111488624
1.0,0.714285714,-12.6984127,0.0,0.0
8.0,8.428571429,11.13619263,2.0,0.033081473
57.0,46.85714286,39.66341159,61.0,0.117860064
2.0,2.0,-32.69639066,6.0,0.286146367
0.0,0.714285714,-23.62728785,352.0,5.154356881
1.0,1.142857143,-2.392344498,262.0,8.681809687
17.0,15.28571429,9.108910891,12.0,0.094698307
1.0,4.142857143,-16.54676259,17.0,0.563323529
1.0,0.857142857,-7.142857143,0.0,0.0
1.0,1.571428571,-20.0,19.0,0.387503225
0.0,0.142857143,76.66666667,1.0,0.070627853
11.0,5.714285714,16.58878505,880.0,4.097265927
0.0,0.285714286,-10.16949153,12.0,0.268596202
2.0,2.428571429,-16.86746988,4.0,0.069459687
32.0,34.57142857,-4.187437687,125.0,0.18682331
24.0,23.14285714,4.553381128,1140.0,2.169690216
11.0,12.71428571,-42.12064842,2.0,0.044766034
4.0,4.285714286,-19.86143187,141.0,1.411855602
1.0,1.142857143,-8.333333333,28.0,0.961104776
10.0,10.85714286,-10.25443331,17.0,0.138674171
0.0,0.285714286,1.0,0.0,0.0
8.0,6.0,-5.238095238,15.0,0.196982413
0.0,0.0,-21.53846154,8.0,0.565022827
17.0,13.42857143,24.09638554,364.0,1.150593393
20.0,17.28571429,-9.344818585,451.0,1.055803573
5.0,3.857142857,-12.971078,876.0,3.021118758
2.0,6.0,10.48218029,4.0,0.124767698
64.0,53.0,35.02162942,62.0,0.119792196
